title,location,location_type,asset_number,manufacturer,era,category,room
R-1830 Pratt & Whitney Twin Wasp Engine,Wall,Display,9,Pratt & Whitney,NULL,Engine,Curtiss Room
1914 rotary engine model,Wall,Display,10,NULL,NULL,Model,Curtiss Room
Hamilton Standard Hydromatin Propeller,Wall,Display,11,Hamilton Standard,NULL,Photograph,Curtiss Room
Model of USS Sable Great Lakes Aircraft Carrier,Wall,Display,12,NULL,NULL,was a passenger ship,Curtiss Room
Niagara Frontier Aviation and Aerospace Hall of Fame wall display,Wall,Display,13,NULL,NULL,Display Board,Curtiss Room
Niagara Frontier Aviation and Aerospace Hall of Fame floor display,Wall,Display,14,NULL,NULL,Display Board,Curtiss Room
B-24 Liberator dedication plaque,Wall,Display,NULL,NULL,NULL,Plaque,Curtiss Room
